,Bank Name ,City ,State ,Cert ,Acquiring Institution ,Closing Date ,Fund
275,Williamsburg First National Bank,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.",23-Jul-10,10270
276,Crescent Bank and Trust Company,Jasper,GA,27559,Renasant Bank,23-Jul-10,10265
277,Sterling Bank,Lantana,FL,32536,IBERIABANK,23-Jul-10,10268
278,"Mainstreet Savings Bank, FSB",Hastings,MI,28136,Commercial Bank,16-Jul-10,10258
279,Olde Cypress Community Bank,Clewiston,FL,28864,"CenterState Bank of Florida, N.A.",16-Jul-10,10260
280,Turnberry Bank,Aventura,FL,32280,NAFH National Bank,16-Jul-10,10261
281,Metro Bank of Dade County,Miami,FL,25172,NAFH National Bank,16-Jul-10,10259
282,First National Bank of the South,Spartanburg,SC,35383,NAFH National Bank,16-Jul-10,10263
283,Woodlands Bank,Bluffton,SC,32571,Bank of the Ozarks,16-Jul-10,10262
284,Home National Bank,Blackwell,OK,11636,RCB Bank,9-Jul-10,10256
285,USA Bank,Port Chester,NY,58072,New Century Bank,9-Jul-10,10254
286,Ideal Federal Savings Bank,Baltimore,MD,32456,No Acquirer,9-Jul-10,10257
287,Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB",9-Jul-10,10255
288,High Desert State Bank,Albuquerque,NM,35279,First American Bank,25-Jun-10,10252
289,First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.",25-Jun-10,10251
290,Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.",25-Jun-10,10253
291,Nevada Security Bank,Reno,NV,57110,Umpqua Bank,18-Jun-10,10250
292,Washington First International Bank,Seattle,WA,32955,East West Bank,11-Jun-10,10249
293,TierOne Bank,Lincoln,NE,29341,Great Western Bank,4-Jun-10,10248
294,Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,4-Jun-10,10246
295,First National Bank,Rosedale,MS,15814,The Jefferson Bank,4-Jun-10,10247
296,Sun West Bank,Las Vegas,NV,34785,City National Bank,28-May-10,10245
297,"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,28-May-10,10244
298,Bank of Florida - Tampa,Tampa,FL,57814,EverBank,28-May-10,10243
299,Bank of Florida - Southwest,Naples,FL,35106,EverBank,28-May-10,10242
300,Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,28-May-10,10241
301,Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,21-May-10,10240
302,Midwest Bank and Trust Company,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.",14-May-10,10236
303,Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,14-May-10,10239
304,New Liberty Bank,Plymouth,MI,35586,Bank of Ann Arbor,14-May-10,10237
305,Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,14-May-10,10238
306,1st Pacific Bank of California,San Diego,CA,35517,City National Bank,7-May-10,10232
307,Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,7-May-10,10235
308,Access Bank,Champlin,MN,16476,PrinsBank,7-May-10,10233
309,The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,7-May-10,10234
310,Frontier Bank,Everett,WA,22710,"Union Bank, N.A.",30-Apr-10,10228
311,BC National Banks,Butler,MO,17792,Community First Bank,30-Apr-10,10225
312,Champion Bank,Creve Coeur,MO,58362,BankLiberty,30-Apr-10,10227
313,CF Bancorp,Port Huron,MI,30005,First Michigan Bank,30-Apr-10,10226
314,Westernbank Puerto Rico,Mayaguez,PR,31027,Banco Popular de Puerto Rico,30-Apr-10,10231
315,R-G Premier Bank of Puerto Rico,Hato Rey,PR,32185,Scotiabank de Puerto Rico,30-Apr-10,10230
316,Eurobank,San Juan,PR,27150,Oriental Bank and Trust,30-Apr-10,10229
317,Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,23-Apr-10,10224
318,Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,23-Apr-10,10223
319,Lincoln Park Savings Bank,Chicago,IL,30600,Northbrook Bank & Trust Company,23-Apr-10,10221
320,New Century Bank,Chicago,IL,34821,"MB Financial Bank, N.A.",23-Apr-10,10222
321,Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,23-Apr-10,10220
322,Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.",23-Apr-10,10219
323,"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,23-Apr-10,10218
324,City Bank,Lynnwood,WA,21521,Whidbey Island Bank,16-Apr-10,10212
325,Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.",16-Apr-10,10217
326,Innovative Bank,Oakland,CA,23876,Center Bank,16-Apr-10,10214
327,Butler Bank,Lowell,MA,26619,People's United Bank,16-Apr-10,10211
328,Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.",16-Apr-10,10216
329,AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.",16-Apr-10,10210
330,First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.",16-Apr-10,10213
331,Lakeside Community Bank,Sterling Heights,MI,34878,No Acquirer,16-Apr-10,10215
332,Beach First National Bank,Myrtle Beach,SC,34242,Bank of North Carolina,9-Apr-10,10209
333,Desert Hills Bank,Phoenix,AZ,57060,New York Community Bank,26-Mar-10,10205
334,Unity National Bank,Cartersville,GA,34678,Bank of the Ozarks,26-Mar-10,10208
335,Key West Bank,Key West,FL,34684,Centennial Bank,26-Mar-10,10206
336,McIntosh Commercial Bank,Carrollton,GA,57399,CharterBank,26-Mar-10,10207
337,State Bank of Aurora,Aurora,MN,8221,Northern State Bank,19-Mar-10,10203
338,First Lowndes Bank,Fort Deposit,AL,24957,First Citizens Bank,19-Mar-10,10204
339,Bank of Hiawassee,Hiawassee,GA,10054,Citizens South Bank,19-Mar-10,10202
340,Appalachian Community Bank,Ellijay,GA,33989,Community & Southern Bank,19-Mar-10,10199
341,Advanta Bank Corp.,Draper,UT,33535,No Acquirer,19-Mar-10,10200
342,Century Security Bank,Duluth,GA,58104,Bank of Upson,19-Mar-10,10198
343,American National Bank,Parma,OH,18806,The National Bank and Trust Company,19-Mar-10,10201
344,Statewide Bank,Covington,LA,29561,Home Bank,12-Mar-10,10196
345,Old Southern Bank,Orlando,FL,58182,Centennial Bank,12-Mar-10,10197
346,The Park Avenue Bank,New York,NY,27096,Valley National Bank,12-Mar-10,10195
347,LibertyPointe Bank,New York,NY,58071,Valley National Bank,11-Mar-10,10194
348,Centennial Bank,Ogden,UT,34430,No Acquirer,5-Mar-10,10193
349,Waterfield Bank,Germantown,MD,34976,No Acquirer,5-Mar-10,10190
350,Bank of Illinois,Normal,IL,9268,Heartland Bank and Trust Company,5-Mar-10,10191
351,Sun American Bank,Boca Raton,FL,27126,First-Citizens Bank & Trust Company,5-Mar-10,10192
352,Rainier Pacific Bank,Tacoma,WA,38129,Umpqua Bank,26-Feb-10,10189
353,Carson River Community Bank,Carson City,NV,58352,Heritage Bank of Nevada,26-Feb-10,10188
354,"La Jolla Bank, FSB",La Jolla,CA,32423,"OneWest Bank, FSB",19-Feb-10,10185
355,George Washington Savings Bank,Orland Park,IL,29952,"FirstMerit Bank, N.A.",19-Feb-10,10184
356,The La Coste National Bank,La Coste,TX,3287,Community National Bank,19-Feb-10,10186
357,Marco Community Bank,Marco Island,FL,57586,Mutual of Omaha Bank,19-Feb-10,10187
358,1st American State Bank of Minnesota,Hancock,MN,15448,"Community Development Bank, FSB",5-Feb-10,10183
359,American Marine Bank,Bainbridge Island,WA,16730,Columbia State Bank,29-Jan-10,10178
360,First Regional Bank,Los Angeles,CA,23011,First-Citizens Bank & Trust Company,29-Jan-10,10177
361,Community Bank and Trust,Cornelia,GA,5702,SCBT National Association,29-Jan-10,10180
362,"Marshall Bank, N.A.",Hallock,MN,16133,United Valley Bank,29-Jan-10,10182
363,Florida Community Bank,Immokalee,FL,5672,"Premier American Bank, N.A.",29-Jan-10,10181
364,First National Bank of Georgia,Carrollton,GA,16480,Community & Southern Bank,29-Jan-10,10179
365,Columbia River Bank,The Dalles,OR,22469,Columbia State Bank,22-Jan-10,10176
366,Evergreen Bank,Seattle,WA,20501,Umpqua Bank,22-Jan-10,10172
367,Charter Bank,Santa Fe,NM,32498,Charter Bank,22-Jan-10,10175
368,Bank of Leeton,Leeton,MO,8265,"Sunflower Bank, N.A.",22-Jan-10,10174
369,Premier American Bank,Miami,FL,57147,"Premier American Bank, N.A.",22-Jan-10,10173
370,Barnes Banking Company,Kaysville,UT,1252,No Acquirer,15-Jan-10,10171
371,St. Stephen State Bank,St. Stephen,MN,17522,First State Bank of St. Joseph,15-Jan-10,10169
372,Town Community Bank & Trust,Antioch,IL,34705,First American Bank,15-Jan-10,10170
373,Horizon Bank,Bellingham,WA,22977,Washington Federal Savings and Loan Association,8-Jan-10,10168
374,"First Federal Bank of California, F.S.B.",Santa Monica,CA,28536,"OneWest Bank, FSB",18-Dec-09,10167
375,Imperial Capital Bank,La Jolla,CA,26348,City National Bank,18-Dec-09,10161
376,Independent Bankers' Bank,Springfield,IL,26820,The Independent BankersBank (TIB),18-Dec-09,10166
377,New South Federal Savings Bank,Irondale,AL,32276,Beal Bank,18-Dec-09,10163
378,Citizens State Bank,New Baltimore,MI,1006,No Acquirer,18-Dec-09,10162
379,Peoples First Community Bank,Panama City,FL,32167,Hancock Bank,18-Dec-09,10165
380,RockBridge Commercial Bank,Atlanta,GA,58315,No Acquirer,18-Dec-09,10164
381,SolutionsBank,Overland Park,KS,4731,Arvest Bank,11-Dec-09,10160
382,"Valley Capital Bank, N.A.",Mesa,AZ,58399,Enterprise Bank & Trust,11-Dec-09,10159
383,"Republic Federal Bank, N.A.",Miami,FL,22846,1st United Bank,11-Dec-09,10158
384,Greater Atlantic Bank,Reston,VA,32583,Sonabank,4-Dec-09,10156
385,Benchmark Bank,Aurora,IL,10440,"MB Financial Bank, N.A.",4-Dec-09,10154
386,AmTrust Bank,Cleveland,OH,29776,New York Community Bank,4-Dec-09,10155
387,The Tattnall Bank,Reidsville,GA,12080,Heritage Bank of the South,4-Dec-09,10153
388,First Security National Bank,Norcross,GA,26290,State Bank and Trust Company,4-Dec-09,10157
389,The Buckhead Community Bank,Atlanta,GA,34663,State Bank and Trust Company,4-Dec-09,10152
390,Commerce Bank of Southwest Florida,Fort Myers,FL,58016,Central Bank,20-Nov-09,10151
391,Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,13-Nov-09,10150
392,Orion Bank,Naples,FL,22427,IBERIABANK,13-Nov-09,10149
393,"Century Bank, F.S.B.",Sarasota,FL,32267,IBERIABANK,13-Nov-09,10148
394,United Commercial Bank,San Francisco,CA,32469,East West Bank,6-Nov-09,10147
395,Gateway Bank of St. Louis,St. Louis,MO,19450,Central Bank of Kansas City,6-Nov-09,10146
396,Prosperan Bank,Oakdale,MN,35074,"Alerus Financial, N.A.",6-Nov-09,10143
397,Home Federal Savings Bank,Detroit,MI,30329,Liberty Bank and Trust Company,6-Nov-09,10144
398,United Security Bank,Sparta,GA,22286,Ameris Bank,6-Nov-09,10145
399,North Houston Bank,Houston,TX,18776,U.S. Bank N.A.,30-Oct-09,10138
400,Madisonville State Bank,Madisonville,TX,33782,U.S. Bank N.A.,30-Oct-09,10142
401,Citizens National Bank,Teague,TX,25222,U.S. Bank N.A.,30-Oct-09,10141
402,Park National Bank,Chicago,IL,11677,U.S. Bank N.A.,30-Oct-09,10140
403,Pacific National Bank,San Francisco,CA,30006,U.S. Bank N.A.,30-Oct-09,10139
404,California National Bank,Los Angeles,CA,34659,U.S. Bank N.A.,30-Oct-09,10134
405,San Diego National Bank,San Diego,CA,23594,U.S. Bank N.A.,30-Oct-09,10135
406,Community Bank of Lemont,Lemont,IL,35291,U.S. Bank N.A.,30-Oct-09,10137
407,"Bank USA, N.A.",Phoenix,AZ,32218,U.S. Bank N.A.,30-Oct-09,10136
408,First DuPage Bank,Westmont,IL,35038,First Midwest Bank,23-Oct-09,10128
409,Riverview Community Bank,Otsego,MN,57525,Central Bank,23-Oct-09,10133
410,Bank of Elmwood,Racine,WI,18321,Tri City National Bank,23-Oct-09,10132
411,Flagship National Bank,Bradenton,FL,35044,First Federal Bank of Florida,23-Oct-09,10129
412,Hillcrest Bank Florida,Naples,FL,58336,Stonegate Bank,23-Oct-09,10131
413,American United Bank,Lawrenceville,GA,57794,Ameris Bank,23-Oct-09,10127
414,Partners Bank,Naples,FL,57959,Stonegate Bank,23-Oct-09,10130
415,San Joaquin Bank,Bakersfield,CA,23266,Citizens Business Bank,16-Oct-09,10126
416,Southern Colorado National Bank,Pueblo,CO,57263,Legacy Bank,2-Oct-09,10123
417,Jennings State Bank,Spring Grove,MN,11416,Central Bank,2-Oct-09,10124
418,Warren Bank,Warren,MI,34824,The Huntington National Bank,2-Oct-09,10125
419,Georgian Bank,Atlanta,GA,57151,"First Citizens Bank and Trust Company, Inc.",25-Sep-09,10122
420,"Irwin Union Bank, F.S.B.",Louisville,KY,57068,"First Financial Bank, N.A.",18-Sep-09,10121
421,Irwin Union Bank and Trust Company,Columbus,IN,10100,"First Financial Bank, N.A.",18-Sep-09,10120
422,Venture Bank,Lacey,WA,22868,First-Citizens Bank & Trust Company,11-Sep-09,10119
423,Brickwell Community Bank,Woodbury,MN,57736,CorTrust Bank N.A.,11-Sep-09,10118
424,"Corus Bank, N.A.",Chicago,IL,13693,"MB Financial Bank, N.A.",11-Sep-09,10117
425,First State Bank,Flagstaff,AZ,34875,Sunwest Bank,4-Sep-09,10114
426,Platinum Community Bank,Rolling Meadows,IL,35030,No Acquirer,4-Sep-09,10115
427,Vantus Bank,Sioux City,IA,27732,Great Southern Bank,4-Sep-09,10116
428,InBank,Oak Forest,IL,20203,"MB Financial Bank, N.A.",4-Sep-09,10113
429,First Bank of Kansas City,Kansas City,MO,25231,Great American Bank,4-Sep-09,10112
430,Affinity Bank,Ventura,CA,27197,Pacific Western Bank,28-Aug-09,10110
431,Mainstreet Bank,Forest Lake,MN,1909,Central Bank,28-Aug-09,10111
432,Bradford Bank,Baltimore,MD,28312,Manufacturers and Traders Trust Company (M&T Bank),28-Aug-09,10109
433,Guaranty Bank,Austin,TX,32618,BBVA Compass,21-Aug-09,10105
434,CapitalSouth Bank,Birmingham,AL,22130,IBERIABANK,21-Aug-09,10106
435,First Coweta Bank,Newnan,GA,57702,United Bank,21-Aug-09,10108
436,ebank,Atlanta,GA,34682,"Stearns Bank, N.A.",21-Aug-09,10107
437,Community Bank of Nevada,Las Vegas,NV,34043,No Acquirer,14-Aug-09,10100
438,Community Bank of Arizona,Phoenix,AZ,57645,MidFirst Bank,14-Aug-09,10101
439,"Union Bank, National Association",Gilbert,AZ,34485,MidFirst Bank,14-Aug-09,10102
440,Colonial Bank,Montgomery,AL,9609,"Branch Banking & Trust Company, (BB&T)",14-Aug-09,10103
441,Dwelling House Savings and Loan Association,Pittsburgh,PA,31559,"PNC Bank, N.A.",14-Aug-09,10104
442,Community First Bank,Prineville,OR,23268,Home Federal Bank,7-Aug-09,10092
443,Community National Bank of Sarasota County,Venice,FL,27183,"Stearns Bank, N.A.",7-Aug-09,10099
444,First State Bank,Sarasota,FL,27364,"Stearns Bank, N.A.",7-Aug-09,10098
445,Mutual Bank,Harvey,IL,18659,United Central Bank,31-Jul-09,10094
446,First BankAmericano,Elizabeth,NJ,34270,Crown Bank,31-Jul-09,10097
447,Peoples Community Bank,West Chester,OH,32288,"First Financial Bank, N.A.",31-Jul-09,10096
448,Integrity Bank,Jupiter,FL,57604,Stonegate Bank,31-Jul-09,10095
449,First State Bank of Altus,Altus,OK,9873,Herring Bank,31-Jul-09,10093
450,Security Bank of Jones County,Gray,GA,8486,State Bank and Trust Company,24-Jul-09,10088
451,Security Bank of Houston County,Perry,GA,27048,State Bank and Trust Company,24-Jul-09,10087
452,Security Bank of Bibb County,Macon,GA,27367,State Bank and Trust Company,24-Jul-09,10085
453,Security Bank of North Metro,Woodstock,GA,57105,State Bank and Trust Company,24-Jul-09,10090
454,Security Bank of North Fulton,Alpharetta,GA,57430,State Bank and Trust Company,24-Jul-09,10089
455,Security Bank of Gwinnett County,Suwanee,GA,57346,State Bank and Trust Company,24-Jul-09,10086
456,Waterford Village Bank,Williamsville,NY,58065,"Evans Bank, N.A.",24-Jul-09,10091
457,Temecula Valley Bank,Temecula,CA,34341,First-Citizens Bank & Trust Company,17-Jul-09,10082
458,Vineyard Bank,Rancho Cucamonga,CA,23556,California Bank & Trust,17-Jul-09,10083
459,BankFirst,Sioux Falls,SD,34103,"Alerus Financial, N.A.",17-Jul-09,10081
460,First Piedmont Bank,Winder,GA,34594,First American Bank and Trust Company,17-Jul-09,10084
461,Bank of Wyoming,Thermopolis,WY,22754,Central Bank & Trust,10-Jul-09,10080
462,Founders Bank,Worth,IL,18390,The PrivateBank and Trust Company,2-Jul-09,10074
463,Millennium State Bank of Texas,Dallas,TX,57667,State Bank of Texas,2-Jul-09,10079
464,First National Bank of Danville,Danville,IL,3644,"First Financial Bank, N.A.",2-Jul-09,10078
465,The Elizabeth State Bank,Elizabeth,IL,9262,Galena State Bank and Trust Company,2-Jul-09,10073
466,Rock River Bank,Oregon,IL,15302,The Harvard State Bank,2-Jul-09,10075
467,First State Bank of Winchester,Winchester,IL,11710,The First National Bank of Beardstown,2-Jul-09,10077
468,John Warner Bank,Clinton,IL,12093,State Bank of Lincoln,2-Jul-09,10076
469,Mirae Bank,Los Angeles,CA,57332,Wilshire State Bank,26-Jun-09,10072
470,MetroPacific Bank,Irvine,CA,57893,Sunwest Bank,26-Jun-09,10071
471,Horizon Bank,Pine City,MN,9744,"Stearns Bank, N.A.",26-Jun-09,10070
472,Neighborhood Community Bank,Newnan,GA,35285,CharterBank,26-Jun-09,10069
473,Community Bank of West Georgia,Villa Rica,GA,57436,No Acquirer,26-Jun-09,10068
474,First National Bank of Anthony,Anthony,KS,4614,Bank of Kansas,19-Jun-09,10066
475,Cooperative Bank,Wilmington,NC,27837,First Bank,19-Jun-09,10065
476,Southern Community Bank,Fayetteville,GA,35251,United Community Bank,19-Jun-09,10067
477,Bank of Lincolnwood,Lincolnwood,IL,17309,Republic Bank of Chicago,5-Jun-09,10064
478,Citizens National Bank,Macomb,IL,5757,Morton Community Bank,22-May-09,10063
479,Strategic Capital Bank,Champaign,IL,35175,Midland States Bank,22-May-09,10062
480,"BankUnited, FSB",Coral Gables,FL,32247,BankUnited,21-May-09,10061
481,Westsound Bank,Bremerton,WA,34843,Kitsap Bank,8-May-09,10060
482,America West Bank,Layton,UT,35461,Cache Valley Bank,1-May-09,10057
483,Citizens Community Bank,Ridgewood,NJ,57563,North Jersey Community Bank,1-May-09,10058
484,"Silverton Bank, NA",Atlanta,GA,26535,No Acquirer,1-May-09,10059
485,First Bank of Idaho,Ketchum,ID,34396,"U.S. Bank, N.A.",24-Apr-09,10055
486,First Bank of Beverly Hills,Calabasas,CA,32069,No Acquirer,24-Apr-09,10054
487,Michigan Heritage Bank,Farmington Hills,MI,34369,Level One Bank,24-Apr-09,10056
488,American Southern Bank,Kennesaw,GA,57943,Bank of North Georgia,24-Apr-09,10053
489,Great Basin Bank of Nevada,Elko,NV,33824,Nevada State Bank,17-Apr-09,10051
490,American Sterling Bank,Sugar Creek,MO,8266,Metcalf Bank,17-Apr-09,10052
491,New Frontier Bank,Greeley,CO,34881,No Acquirer,10-Apr-09,10050
492,Cape Fear Bank,Wilmington,NC,34639,First Federal Savings and Loan Association,10-Apr-09,10049
493,Omni National Bank,Atlanta,GA,22238,No Acquirer,27-Mar-09,10048
494,"TeamBank, NA",Paola,KS,4754,Great Southern Bank,20-Mar-09,10046
495,Colorado National Bank,Colorado Springs,CO,18896,Herring Bank,20-Mar-09,10045
496,FirstCity Bank,Stockbridge,GA,18243,No Acquirer,20-Mar-09,10047
497,Freedom Bank of Georgia,Commerce,GA,57558,Northeast Georgia Bank,6-Mar-09,10044
498,Security Savings Bank,Henderson,NV,34820,Bank of Nevada,27-Feb-09,10043
499,Heritage Community Bank,Glenwood,IL,20078,"MB Financial Bank, N.A.",27-Feb-09,10042
500,Silver Falls Bank,Silverton,OR,35399,Citizens Bank,20-Feb-09,10041
501,Pinnacle Bank of Oregon,Beaverton,OR,57342,Washington Trust Bank of Spokane,13-Feb-09,10040
502,Corn Belt Bank & Trust Co.,Pittsfield,IL,16500,The Carlinville National Bank,13-Feb-09,10037
503,Riverside Bank of the Gulf Coast,Cape Coral,FL,34563,TIB Bank,13-Feb-09,10038
504,Sherman County Bank,Loup City,NE,5431,Heritage Bank,13-Feb-09,10039
505,County Bank,Merced,CA,22574,Westamerica Bank,6-Feb-09,10034
506,Alliance Bank,Culver City,CA,23124,California Bank & Trust,6-Feb-09,10035
507,FirstBank Financial Services,McDonough,GA,57017,Regions Bank,6-Feb-09,10036
508,Ocala National Bank,Ocala,FL,26538,"CenterState Bank of Florida, N.A.",30-Jan-09,10032
509,Suburban FSB,Crofton,MD,30763,Bank of Essex,30-Jan-09,10033
510,MagnetBank,Salt Lake City,UT,58001,No Acquirer,30-Jan-09,10031
511,1st Centennial Bank,Redlands,CA,33025,First California Bank,23-Jan-09,10030
512,Bank of Clark County,Vancouver,WA,34959,Umpqua Bank,16-Jan-09,10029
513,National Bank of Commerce,Berkeley,IL,19733,Republic Bank of Chicago,16-Jan-09,10028
514,Sanderson State Bank,Sanderson,TX,11568,The Pecos County State Bank,12-Dec-08,10026
515,Haven Trust Bank,Duluth,GA,35379,"Branch Banking & Trust Company, (BB&T)",12-Dec-08,10027
516,First Georgia Community Bank,Jackson,GA,34301,United Bank,5-Dec-08,10025
517,PFF Bank & Trust,Pomona,CA,28344,"U.S. Bank, N.A.",21-Nov-08,10024
518,Downey Savings & Loan,Newport Beach,CA,30968,"U.S. Bank, N.A.",21-Nov-08,10023
519,Community Bank,Loganville,GA,16490,Bank of Essex,21-Nov-08,10022
520,Security Pacific Bank,Los Angeles,CA,23595,Pacific Western Bank,7-Nov-08,10020
521,"Franklin Bank, SSB",Houston,TX,26870,Prosperity Bank,7-Nov-08,10021
522,Freedom Bank,Bradenton,FL,57930,Fifth Third Bank,31-Oct-08,10019
523,Alpha Bank & Trust,Alpharetta,GA,58241,"Stearns Bank, N.A.",24-Oct-08,10018
524,Meridian Bank,Eldred,IL,13789,National Bank,10-Oct-08,10017
525,Main Street Bank,Northville,MI,57654,Monroe Bank & Trust,10-Oct-08,10016
526,Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB),Henderson,NV,32633,JP Morgan Chase Bank,25-Sep-08,10015
527,Ameribank,Northfork,WV,6782,"The Citizens Savings Bank ********** Pioneer Community Bank, Inc.",19-Sep-08,10014
528,Silver State Bank,Henderson,NV,34194,Nevada State Bank,5-Sep-08,10013
529,Integrity Bank,Alpharetta,GA,35469,Regions Bank,29-Aug-08,10012
530,Columbian Bank & Trust,Topeka,KS,22728,Citizens Bank & Trust,22-Aug-08,10011
531,First Priority Bank,Bradenton,FL,57523,SunTrust Bank,1-Aug-08,10010
532,"First Heritage Bank, NA",Newport Beach,CA,57961,Mutual of Omaha Bank,25-Jul-08,10009
533,First National Bank of Nevada,Reno,NV,27011,Mutual of Omaha Bank,25-Jul-08,10008
534,IndyMac Bank,Pasadena,CA,29730,"OneWest Bank, FSB",11-Jul-08,10007
535,"First Integrity Bank, NA",Staples,MN,12736,First International Bank and Trust,30-May-08,10006
536,"ANB Financial, NA",Bentonville,AR,33901,Pulaski Bank and Trust Company,9-May-08,10005
537,Hume Bank,Hume,MO,1971,Security Bank,7-Mar-08,10004
538,Douglass National Bank,Kansas City,MO,24660,Liberty Bank and Trust Company,25-Jan-08,10003
539,Miami Valley Bank,Lakeview,OH,16848,The Citizens Banking Company,4-Oct-07,10002
540,NetBank,Alpharetta,GA,32575,ING DIRECT,28-Sep-07,10001
541,Metropolitan Savings Bank,Pittsburgh,PA,35353,Allegheny Valley Bank of Pittsburgh,2-Feb-07,10000
542,Bank of Ephraim,Ephraim,UT,1249,Far West Bank,25-Jun-04,4665
543,Reliance Bank,White Plains,NY,26778,Union State Bank,19-Mar-04,4664
544,Guaranty National Bank of Tallahassee,Tallahassee,FL,26838,Hancock Bank of Florida,12-Mar-04,4663
545,Dollar Savings Bank,Newark,NJ,31330,No Acquirer,14-Feb-04,6006
546,Pulaski Savings Bank,Philadelphia,PA,27203,Earthstar Bank,14-Nov-03,4662
547,First National Bank of Blanchardville,Blanchardville,WI,11639,The Park Bank,9-May-03,4661
548,Southern Pacific Bank,Torrance,CA,27094,Beal Bank,7-Feb-03,4660
549,Farmers Bank of Cheneyville,Cheneyville,LA,16445,Sabine State Bank & Trust,17-Dec-02,4659
550,Bank of Alamo,Alamo,TN,9961,No Acquirer,8-Nov-02,4658
551,AmTrade International Bank,Atlanta,GA,33784,No Acquirer,30-Sep-02,4657
552,Universal Federal Savings Bank,Chicago,IL,29355,Chicago Community Bank,27-Jun-02,6005
553,Connecticut Bank of Commerce,Stamford,CT,19183,Hudson United Bank,26-Jun-02,4656
554,New Century Bank,Shelby Township,MI,34979,No Acquirer,28-Mar-02,4655
555,Net 1st National Bank,Boca Raton,FL,26652,Bank Leumi USA,1-Mar-02,4654
556,"NextBank, NA",Phoenix,AZ,22314,No Acquirer,7-Feb-02,4653
557,Oakwood Deposit Bank Co.,Oakwood,OH,8966,The State Bank & Trust Company,1-Feb-02,4652
558,Bank of Sierra Blanca,Sierra Blanca,TX,22002,The Security State Bank of Pecos,18-Jan-02,4651
559,"Hamilton Bank, NA",Miami,FL,24382,Israel Discount Bank of New York,11-Jan-02,4650
560,Sinclair National Bank,Gravette,AR,34248,Delta Trust & Bank,7-Sep-01,4649
561,"Superior Bank, FSB",Hinsdale,IL,32646,"Superior Federal, FSB",27-Jul-01,6004
562,Malta National Bank,Malta,OH,6629,North Valley Bank,3-May-01,4648
563,First Alliance Bank & Trust Co.,Manchester,NH,34264,Southern New Hampshire Bank & Trust,2-Feb-01,4647
564,National State Bank of Metropolis,Metropolis,IL,3815,Banterra Bank of Marion,14-Dec-00,4646
565,Bank of Honolulu,Honolulu,HI,21029,Bank of the Orient,13-Oct-00,4645
